raw_group_index,source_sample_count,source_sample_ids_file,max_residue_count,source_datasets,source_statuses
1,468,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000001_source_ids.txt,514,PDBbind2020;scPDB,accepted;accepted_pseudo_chainA
2,258,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000002_source_ids.txt,403,PDBbind2020;scPDB,accepted;accepted_dominant_chain
3,226,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000003_source_ids.txt,223,PDBbind2020;scPDB,accepted;accepted_dominant_chain
4,199,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000004_source_ids.txt,1347,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
5,177,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000005_source_ids.txt,304,PDBbind2020;scPDB,accepted
6,153,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000006_source_ids.txt,891,PDBbind2020;scPDB,accepted;accepted_pseudo_chainA
7,141,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000007_source_ids.txt,223,PDBbind2020,accepted;accepted_dominant_chain
8,124,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000008_source_ids.txt,305,PDBbind2020;scPDB,accepted;accepted_dominant_chain
9,121,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000009_source_ids.txt,358,PDBbind2020;scPDB,accepted;accepted_dominant_chain
10,114,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000010_source_ids.txt,227,PDBbind2020;scPDB,accepted;accepted_dominant_chain
11,105,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000011_source_ids.txt,548,PDBbind2020;scPDB,accepted
12,91,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000012_source_ids.txt,332,PDBbind2020;scPDB,accepted;accepted_dominant_chain
13,89,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000013_source_ids.txt,198,PDBbind2020;scPDB,accepted_pseudo_chainA
14,75,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000014_source_ids.txt,280,PDBbind2020;scPDB,accepted;accepted_dominant_chain
15,74,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000015_source_ids.txt,277,PDBbind2020;scPDB,accepted;accepted_dominant_chain
16,73,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000016_source_ids.txt,354,PDBbind2020;scPDB,accepted
17,73,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000017_source_ids.txt,341,PDBbind2020;scPDB,accepted;accepted_dominant_chain
18,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000018_source_ids.txt,334,PDBbind2020;scPDB,accepted;accepted_dominant_chain
19,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000019_source_ids.txt,198,PDBbind2020;scPDB,accepted_pseudo_chainA
20,70,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000020_source_ids.txt,358,PDBbind2020;scPDB,accepted
21,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000021_source_ids.txt,1635,PDBbind2020;scPDB,accepted;accepted_dominant_chain;accepted_pseudo_chainA
22,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000022_source_ids.txt,610,PDBbind2020;scPDB,accepted
23,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000023_source_ids.txt,238,PDBbind2020,accepted
24,66,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000024_source_ids.txt,300,PDBbind2020;scPDB,accepted;accepted_dominant_chain
25,65,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000025_source_ids.txt,294,scPDB,accepted
26,64,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000026_source_ids.txt,330,PDBbind2020;scPDB,accepted
27,64,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/_manifests/raw_group_source_ids/raw_group_000027_source_ids.txt,277,PDBbind2020;scPDB,accepted;accepted_dominant_chain
