protein_group_id,pocket_id,pocket_pdb,representative_protein_pdb,pocket_residue_count,merged_source_count,merged_source_ids_file,dataset_label
protein_group_000001,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,156,44,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-1_source_ids.txt,template
protein_group_000001,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,132,304,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-2_source_ids.txt,template
protein_group_000001,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,75,86,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-3_source_ids.txt,template
protein_group_000001,pocket-4,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-4.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,44,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-4_source_ids.txt,template
protein_group_000001,pocket-5,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-5.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,43,22,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-5_source_ids.txt,template
protein_group_000001,pocket-6,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-6.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,29,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-6_source_ids.txt,template
protein_group_000001,pocket-7,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-7.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,28,2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-7_source_ids.txt,template
protein_group_000001,pocket-8,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-8.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,28,8,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket-8_source_ids.txt,template
protein_group_000002,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_protein.pdb,170,223,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket-1_source_ids.txt,template
protein_group_000002,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_protein.pdb,91,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket-2_source_ids.txt,template
protein_group_000002,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_protein.pdb,39,5,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket-3_source_ids.txt,template
protein_group_000003,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_protein.pdb,126,140,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_pocket-1_source_ids.txt,template
protein_group_000003,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_protein.pdb,58,71,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_pocket-2_source_ids.txt,template
