protein_group_id,representative_global_sample_id,representative_sample_id,representative_source_dataset,representative_source_status,representative_protein_pdb,union_pocket_pdb,source_sample_count,unique_pocket_count,protein_residue_count,union_pocket_residue_count,source_sample_ids_file,dataset_label
protein_group_000001,PDBbind2020:4lp6:accepted_pseudo_chainA,4lp6,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/protein_group_000001_pocket_union.pdb,468,8,514,278,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000001/source_sample_ids.txt,template
protein_group_000002,PDBbind2020:4hzt:accepted,4hzt,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/protein_group_000002_pocket_union.pdb,258,3,403,170,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000002/source_sample_ids.txt,template
protein_group_000003,scPDB:3hek_2:accepted,3hek_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/protein_group_000003_pocket_union.pdb,226,4,223,126,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000003/source_sample_ids.txt,template
protein_group_000004,PDBbind2020:6boy:accepted_pseudo_chainA,6boy,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/protein_group_000004_pocket_union.pdb,199,4,1347,151,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000004/source_sample_ids.txt,template
protein_group_000005,PDBbind2020:4gcj:accepted,4gcj,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/protein_group_000005_pocket_union.pdb,177,3,304,131,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000005/source_sample_ids.txt,template
protein_group_000006,PDBbind2020:3ggv:accepted_pseudo_chainA,3ggv,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/protein_group_000006_pocket_union.pdb,153,4,891,211,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000006/source_sample_ids.txt,template
protein_group_000007,PDBbind2020:4hgc:accepted,4hgc,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000007/protein_group_000007_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000007/protein_group_000007_pocket_union.pdb,141,1,223,114,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000007/source_sample_ids.txt,template
protein_group_000008,PDBbind2020:1jwt:accepted,1jwt,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/protein_group_000008_pocket_union.pdb,124,4,305,204,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000008/source_sample_ids.txt,template
protein_group_000009,PDBbind2020:3zya:accepted,3zya,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/protein_group_000009_pocket_union.pdb,121,7,358,246,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000009/source_sample_ids.txt,template
protein_group_000010,PDBbind2020:4hyf:accepted,4hyf,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/protein_group_000010_pocket_union.pdb,114,3,227,109,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000010/source_sample_ids.txt,template
