protein_group_id,global_sample_id,sample_id,source_dataset,source_status,sample_type,protein_pdb,pocket_pdb,mapped_pocket_residue_count
protein_group_000243,PDBbind2020:6g7f:accepted_dominant_chain,6g7f,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g7f/6g7f_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g7f/6g7f_pocket_clean_single_chain.pdb,71
protein_group_000243,PDBbind2020:6g8m:accepted_dominant_chain,6g8m,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g8m/6g8m_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g8m/6g8m_pocket_clean_single_chain.pdb,76
protein_group_000243,PDBbind2020:6g8n:accepted_dominant_chain,6g8n,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g8n/6g8n_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6g8n/6g8n_pocket_clean_single_chain.pdb,73
protein_group_000243,PDBbind2020:6gop:accepted_dominant_chain,6gop,PDBbind2020,accepted_dominant_chain,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6gop/6gop_protein_clean_single_chain.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_process/6gop/6gop_pocket_clean_single_chain.pdb,63
protein_group_000243,PDBbind2020:4qvl:accepted_pseudo_chainA,4qvl,PDBbind2020,accepted_pseudo_chainA,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvl/4qvl_protein_pseudo_chainA.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvl/4qvl_pocket_pseudo_chainA.pdb,95
protein_group_000243,PDBbind2020:4qvm:accepted_pseudo_chainA,4qvm,PDBbind2020,accepted_pseudo_chainA,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvm/4qvm_protein_pseudo_chainA.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvm/4qvm_pocket_pseudo_chainA.pdb,94
protein_group_000243,PDBbind2020:4qvn:accepted_pseudo_chainA,4qvn,PDBbind2020,accepted_pseudo_chainA,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvn/4qvn_protein_pseudo_chainA.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvn/4qvn_pocket_pseudo_chainA.pdb,95
protein_group_000243,PDBbind2020:4qvp:accepted_pseudo_chainA,4qvp,PDBbind2020,accepted_pseudo_chainA,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvp/4qvp_protein_pseudo_chainA.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvp/4qvp_pocket_pseudo_chainA.pdb,94
protein_group_000243,PDBbind2020:4qvq:accepted_pseudo_chainA,4qvq,PDBbind2020,accepted_pseudo_chainA,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvq/4qvq_protein_pseudo_chainA.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvq/4qvq_pocket_pseudo_chainA.pdb,94
protein_group_000243,PDBbind2020:4qvv:accepted_pseudo_chainA,4qvv,PDBbind2020,accepted_pseudo_chainA,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvv/4qvv_protein_pseudo_chainA.pdb,/public/share/yanjianbin/liuyugeng/PLDB/PDBbind2020_pseudo_chainA_from_rejected_debug/4qvv/4qvv_pocket_pseudo_chainA.pdb,94
