source_id,smiles,molecule_name
1,CC1(C)[C@@]2([H])C[C@H](O)C(C)=C1[C@@H](O)[C@H](O)[C@@]3(C)[C@](C([C@@H](O)CC3)=C)([H])C2,"5alpha,9alpha,10beta,13alpha-Tetrahydroxytaxa- 4(20),11-diene"
2,CC1([C@]2(C[C@@H](C(C)=C1[C@H]([C@@H]([C@]3([C@]([H])(C2)C([C@H](CC3)OC(C)=O)=C)C)OC(C)=O)O)O)[H])C,2-Deacetoxy-5-decinnamoyltaxinine J
3,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1O)O)C)OC(=O)C)OC(=O)C,"9alpha,10beta-Diacetoxytaxa-4(20),11-diene-5alpha,13alpha-diol"
4,CC1(C)[C@@]2([H])C[C@H](OC(C)=O)C(C)=C1[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)[C@](C([C@@H](O)CC3)=C)([H])C2,"10beta,13alpha-Diacetoxy-taxa-4(20),11-diene-5alpha,9alpha-diol"
5,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)C)O)O,"5alpha,13alpha-Diacetoxytaxa-4(20),11-diene-9alpha,10beta-diol"
6,C[C@@]1([C@](C([C@@H](O)CC1[H])=C)([H])C2[H])[C@@H](OC(C)=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(C)=O)C[C@]2([H])C3(C)C,"9alpha,10beta,13alpha-Triacetoxytaxa-4(20),11-dien-5alpha-ol"
7,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C,Taxusin
8,[H][C@]12C[C@H](C(C)3C)C[C@H](O)C(C)=C3[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]1(C)CC[C@H]([C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C2=C,"9alpha,10beta-Diacetoxy-5alpha-(beta-D-glucopyranosyl)taxa-4(20),11-dien-13alpha-ol"
9,CC1(C)[C@]2(O)[C@@H](OC(C)=O)[C@@]3([H])[C@]([C@@H](OC(C)=O)C[C@H](O)C3=C)(C)[C@@H](OC(C)=O)[C@H](OC(C)=O)C1=C(C)[C@@H](OC(C)=O)C2,Decinnamoyl-1-hydroxytaxinine J
10,C[C@@]1([C@](C([C@@H](OC(C)=O)C[C@@H]1OC(C)=O)=C)([H])C2[H])[C@@H](OC(C)=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(C)=O)C[C@]2([H])C3(C)C,"7beta-Acetoxytaxusin(5alpha,7beta,9alpha,10beta,13alpha-pentaacetoxytaxa-4(20),11-diene)"
11,CC1(C)[C@@]2([H])C[C@H](O)C(C)=C1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)[C@](C([C@@H](OC(CO)=O)C[C@@H]3OC(C)=O)=C)(OC(C)=O)C2,"7beta,9alpha,10beta-Triacetoxy-13alpha-hydroxy-5alpha-O-beta-(D-glucopyranosyl)taxa-4(20),11-diene"
12,C[C@@]1([C@](C([C@@H](O)CC1[H])=C)([H])[C@@H]2O)[C@@H](O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(C)=O)C[C@]2([H])C3(C)C,"10beta,13alpha-Diacetoxytaxa-4(20),11-diene-2alpha,5alpha,9alpha-triol"
13,CC1(C)[C@@]2([H])C[C@H](O)C(C)=C1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)[C@](C([C@@H](O)CC3)=C)(OC(C)=O)C2,"2alpha,9alpha,10beta-Triacetoxytaxa-4(20),11-diene-5alpha,13alpha-diol"
14,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)O)C)OC(=O)C)O,"2alpha,9alpha,13alpha-Triacetoxytaxa-4(20),11-diene-5alpha,10beta-diol"
15,CC1(C)[C@@]2([H])C[C@H](OC(C)=O)C(C)=C1[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)[C@](C([C@@H](O)CC3)=C)(OC(C)=O)C2,"2alpha,10beta,13alpha-Triacetoxytaxa-4(20),11-diene-5alpha,9alpha-diol"
16,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)O)C)OC(=O)C)OC(=O)C,Decinnamoyltaxinine E
17,[H][C@]12[C@H](OC(C)=O)[C@H](C(C)3C)C[C@H](O[C@H]4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)C(C)=C3[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]1(C)CC[C@H](O)C2=C,"2alpha,9alpha,10beta-Triacetoxy-13alpha-(beta-D-gluco-pyranosyloxy)taxa-4(20),11-dien-5alpha-ol"
18,CC1(C)[C@@]2([H])C[C@H](O)C(C)=C1[C@@H](OC(C)=O)[C@H](O)[C@@]3(C)[C@](C([C@@H](O)C[C@@H]3O)=C)(O)C2,"10beta-Acetoxy-taxa-4(20),11-diene-2alpha,5alpha,7beta,9alpha,13alpha-pentaol"
20,C[C@@]1([C@](C([C@@H](O)C[C@@H]1OC(C)=O)=C)([H])[C@@H]2O)[C@@H](OC(C)=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(C)=O)C[C@]2([H])C3(C)C,2-Deacetyl-5-decinnamoyltaxinine E
21,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)O)O)C)O)OC(=O)C,"7,9-Deacetyl-5-decinnamoyltaxinine J"
22,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1O)OC(=O)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C,Taxezopidine F
23,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](O)C[C@H](O)C([C@H]3[C@H](OC(C)=O)[C@H](C[C@@H]1OC(C)=O)C2(C)C)=C,Taxumariene D
24,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](O)C([C@H]3[C@H](OC(C)=O)[C@H](C[C@@H]1OC(C)=O)C2(C)C)=C,Taxumariene E
25,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C,Decinnamoyltaxinine J
26,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](OC(C)=O)C([C@H]3[C@H](OC(C)=O)[C@H](C[C@@H]1OC(C)=O)C2(C)C)=C,"2alpha,5alpha,7beta,9alpha,10beta,13alpha-Hexaacetoxy-taxa-4(20),11-diene"
27,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](O)C([C@H]3C[C@](C[C@@H]1OC(C)=O)(O)C2(C)C)=C,1-Hydroxy-2-deacetoxy-5-decinnamoyl-taxinine J
28,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)[C@@H](O)C[C@H](OC(C)=O)C([C@H]3C[C@](C[C@@H]1OC(C)=O)(O)C2(C)C)=C,Taxawallin G
29,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](O)C([C@H]3C[C@](CC1)(OC(C)=O)C2(C)C)=C,"1beta,7beta,9alpha,10beta,-Tetraacetoxytaxa-4(20),11-dien-5alpha-ol"
30,CC(C(C1(C)CO)(O)C[C@H](OC(C)=O)[C@]2(C)[C@@H](OC(C)=O)C[C@@H]3O)=C(OC(C)=O)CC1C(OC(C)=O)[C@@H]2C3=C,"2alpha,7beta,9alpha,13alpha-Tetraacetoxy-5alpha,10beta,17-trihydroxytaxa-4(20),11-diene"
31,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](O)C([C@H]3C(OC(C4=CC=CC=C4)=O)[C@](CC1OC(C)=O)(O)C2(C)C)=C,"2alpha-Benzoyloxy-9alpha,10beta,13alpha-triacetoxy-taxa-4(20),11-diene-1beta,5alpha-diol"
32,C[C@@]1([C@](C([C@@H](O)C[C@@H]1OC(C2=CC=CC=C2)=O)=C)([H])C3[H])[C@@H](OC(C)=O)[C@H](OC(C)=O)C4=C(C)[C@@H](OC(C)=O)C[C@]3(O)C4(C)C,13-Acetylbrevifoliol
33,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](OC(C)=O)C([C@H]3C(OC(C)=O)[C@H](CC1OC(/C=C\C4=CC=CC=C4)=O)C2(C)C)=C,"2alpha,5alpha,9alpha,10beta-Tetraacetoxy-13alpha-(Z)-cinnamoyltaxa-4(20),11-diene"
34,CC1=C2C(=O)C[C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)C,Taxuyunnanine D
35,CC1=C2C(C(C3(CCC(C(=C)C3C(C(C2(C)C)CC1=O)O)O)C)OC(=O)C)O,Taxezopidine C
36,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)O)O)C)O)OC(=O)C,Taxezopidine D
37,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)O)O)C)OC(=O)C)OC(=O)C,Taxuspine G (2-deacetyltaxinine A)
38,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)O)C)OC(=O)C)OC(=O)C,Taxinine A
39,[H][C@]1(C([C@@H](O)CC[C@]1([C@@H](O)[C@H](OC(C)=O)C2=C3C)C)=C)[C@H](OC(C)=O)[C@H](C(C)2C)CC3=O,"2alpha,10beta-diacetoxy-5alpha,9alpha-dihydroxytaxa-4(20),11-dien-13-one"
40,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C2(C)C)CC1=O)C(=C)[C@H](C[C@@H]3OC(=O)C)O)C)OC(=O)C)OC(=O)C,Taxuspinanane K
41,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](OC(C)=O)C([C@H]3C(OC(C)=O)[C@H](CC1=O)C2(C)C)=C,Taxinine H
42,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)O)O)O)C)O)OC(=O)C,"10beta-Acetoxy-2alpha,5alpha,7beta,9alpha-tetrahydroxy-taxa-4(20),11-dien-13-one"
43,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)O)C)OC(=O)C)O,"2alpha,9alpha-Diacetoxy-5alpha,10beta-dihydroxytaxa-4(20),11-dien-13-one"
44,CC1=C2[C@@H](OC(C)=O)[C@H](O)[C@]3(C)CC[C@H](O)C([C@H]3C(OC(C)=O)[C@](CC1=O)(O)C2(C)C)=C,"2,10-Diacetoxy-5-decinnamoyltaxicin I"
45,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](O)C([C@H]3C(OC(C)=O)[C@](CC1=O)(O)C2(C)C)=C,1beta-Hydroxytaxinine A
46,CC1=C2C(O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](OC(C)=O)C([C@H]3C(OC(C)=O)[C@](CC1=O)(O)C2(C)C)=C,"2alpha,7beta,9alpha-Triacetoxy-5alpha,10beta-dihydroxytaxa-4(20),11-dien-13-one"
47,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)O)OC(=O)C)C)OC(=O)C)OC(=O)C,Taxuspine F
48,CC(C(C1(C)C)(O)C(OC(C)=O)[C@H](OC(C)=O)[C@]2(C)[C@@H](OC(C)=O)C[C@@H]3O)=C(O)CC1C(OC(C)=O)[C@@H]2C3=C,"2alpha,7beta,9alpha,13alpha-Tetraacetoxy-5alpha,10beta,17-trihydroxy-taxa-4(20),11-diene"
49,CC1=C2[C@@H](O)[C@H](O)[C@]3(C)[C@@H](O)C[C@H](O)C([C@H]3[C@H](O)[C@H](C[C@@H]1O)C2(C)C)=C,"2alpha,5alpha,7beta,9alpha,10beta,13alpha-Hexahydroxytaxa-4(20),11-diene"
50,CC1=C2[C@@H](O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](O)C([C@H]3C[C@](C[C@@H]1O)(O)C2(C)C)=C,7-Debenzoyloxy-10-deacetylbrevifoliol
51,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3C[C@@]2(C[C@@H]1O)C(C)(C)O)O)OC(=O)C)C)OC(=O)C)OC(=O)C4=CC=CC=C4,Brevifoliol
52,C[C@@]1([C@](C([C@@H](O)C[C@@H]1OC(C)=O)=C)([H])[C@@H]2OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C3=CC=CC=C3)=O)C4=C(C)[C@@H](O)C[C@]2(O)C4(C)C,2alpha-Acetoxybrevifoliol
53,CC1=C2[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)CC[C@H](O)C([C@H]3C(OC(C4=CC=CC=C4)=O)[C@](CC1O)(O)C2(C)C)=C,"2alpha-Benzoyl-9alpha,10beta-diacetoxy-taxa-taxa-4(20),11-diene-1beta,5alpha,13alpha-triol"
54,CC1=C2[C@@H](OC(C)=O)C[C@]3(C)[C@@H](OC(C)=O)C[C@H](OC(C)=O)C([C@H]3C(OC(C(C)CC)=O)[C@H](CC1)C2(C)C)=C,"5alpha,7beta,10beta-Triacetoxy-2alpha-(alpha-methylbutyryl-oxy)taxa-4(20),11-diene"
55,CC1=C2[C@@H](OC(C)=O)C(OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](O)C([C@H]3C(OC(C(C)CC)=O)[C@H](CC1)C2(C)C)=C,"2alpha-(alpha-Methylbutyryloxy)-7beta,9alpha,10beta-tri-acetoxytaxa-4(20),11-dien-5alpha-ol"
56,CC1=C2[C@@H](OC(C)=O)C(OC(C)=O)[C@]3(C)[C@@H](OC(C)=O)C[C@H](OC(C)=O)C([C@H]3C(OC(C(C)CC)=O)[C@H](CC1)C2(C)C)=C,"2alpha-(alpha-Methylbutyryloxy)-5alpha,7beta,9alpha,10beta-tetraacetoxytaxa-4(20),11-diene"
57,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)O)OC(=O)C,Dantaxusin B
58,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3C[C@@H](C2(C)C)C[C@@H]1O)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,"9alpha,10beta-Diacetoxy-5alpha-cinnamoyloxytaxa-4(20),11-dien-13alpha-ol"
59,CC(O[C@H]1[C@@H]([C@]2(C(CC(C(C)(C)C1=C3C)C[C@@H]3OC(C)=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,"5alpha-Cinnamoyloxy-9alpha,10beta,13alpha-triacetoxy-taxa-4(20),11-diene"
60,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)C(=C)[C@H](C[C@@H]3O)OC(=O)/C=C/C4=CC=CC=C4)C)O)OC(=O)C,"2-Deacetoxy-7,9-dideacetyltaxinine J"
61,CC(O[C@H]1[C@@H]([C@]2(C(CC(C(C)(C)C1=C3C)C[C@@H]3OC(C)=O)C([C@H](C[C@@H]2O)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,"9alpha,10beta,13alpha-Triacetoxy-5alpha-cinnamoyloxy-taxa-4(20),11-dien-7beta-ol"
62,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C2(C)C)C[C@@H]1O)C(=C)[C@H](C[C@@H]3OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,Taxezopidine H
63,CC1=C2[C@H]([C@@H]([C@]3([C@H](C[C@@H](C2(C)C)C[C@@H]1OC(=O)C)C(=C)[C@H](C[C@@H]3OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,2-Deacetoxytaxinine J
64,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1O)O)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,"9alpha,10beta-Diacetoxy-5alpha-cinnamoyloxytaxa-4(20),11-diene-2alpha,13alpha-diol"
65,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)O)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,Taxezopidine G
66,CC(O[C@H]1[C@@H]([C@]2(C([C@H](O)C(C(C)(C)C1=C3C)C[C@@H]3OC(C)=O)C([C@H](C[C@@H]2OC(C)=O)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,Taxuspinanane G
67,[H][C@]12[C@H](OC(C)=O)[C@H](C(C)3C)C[C@H](O)C(C)=C3[C@@H](OC(C)=O)[C@H](O)[C@]1(C)CC[C@H](OC(C=CC4=CC=CC=C4)=O)C2=C,"2alpha,10beta-Diacetoxy-5alpha-cinnamoyloxytaxa-4(20),11-diene-9alpha,13alpha-diol"
68,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)O)OC(=O)C,9-Deacetyltaxinine E
69,[H][C@]12[C@H](OC(C)=O)[C@H](C(C)3C)C[C@H](OC(C)=O)C(C)=C3[C@@H](O)[C@H](OC(C)=O)[C@]1(C)CC[C@H](OC(C=CC4=CC=CC=C4)=O)C2=C,"2alpha,9alpha,13alpha-Triacetoxy-5alpha-cinnamoyloxy-taxa-4(20),11-dien-10beta-ol"
70,CC(O[C@H]1[C@@H]([C@]2(C([C@H](OC(C)=O)C(C(C)(C)C1=C3C)C[C@@H]3O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,13-Deacetyltaxinine E
71,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,7-Deacetoxytaxinine J
72,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)C[C@@H]1OC(=O)C)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)O)C)OC(=O)C)OC(=O)C,Dantaxusin D
73,C[C@@]12[C@]([C@H](OC(C)=O)[C@]3(C(C)(C)C([C@@H](OC(C)=O)[C@@H]1OC(C)=O)=C(C)[C@@H](OC(C)=O)C3)[H])(C(=C)[C@@H](OC(/C=C/C4=CC=CC=C4)=O)C[C@@H]2OC(C)=O)[H],Taxinine J
74,CC(O[C@H]1[C@@H]([C@]2(C(CC(C(C)(C)C1=C3C)(O)C[C@@H]3OC(C)=O)C([C@H](C[C@@H]2OC(C)=O)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,Taxawallin A
75,CC(O[C@H]1[C@@H]([C@]2(C(C(OC(C)=O)C(C(C)(C)C1=C3C)(O)C[C@@H]3OC(C)=O)C([C@H](C[C@@H]2OC(C)=O)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,Taxusumatrin
77,O[C@H]1[C@@H]([C@]2(C(C(O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)O,"5alpha-Cinnamoyloxy-2alpha,9alpha,10beta-trihydroxy-taxa-4(20),11-dien-13-one"
78,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@H](C2(C)C)CC1=O)O)OC(=O)/C=C/C4=CC=CC=C4)C)O)OC(=O)C,5-Cinnamoyl-10-acetyltaxicin II
79,O[C@H]1[C@@H]([C@]2(C(C(O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O,"9alpha-Acetoxy-5alpha-cinnamoyloxytaxa-2alpha,10beta-dihydroxy-4(20),11-dien-13-one"
80,CC(O[C@H]1[C@@H]([C@]2(C(C(O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O)=O,2-Deacetyltaxinine
81,O[C@H]1[C@@H]([C@]2(C(C(OC(C)=O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)O,"9,10-Deacetyltaxinine"
82,CC(O[C@H]1[C@@H]([C@]2(C(C(OC(C)=O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)O)=O,9-Deacetyltaxinine
83,O[C@H]1[C@@H]([C@]2(C(C(OC(C)=O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2)OC(/C=C/C4=CC=CC=C4)=O)=C)C)OC(C)=O,10-Deacetyltaxinine
84,CC1=C2[C@H]([C@@H]([C@@]3(CC[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)C)OC(=O)C)OC(=O)C,Taxinine
85,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)O)OC(=O)/C=C/C4=CC=CC=C4)O)C)O)OC(=O)C,Taxezopidine E
86,CC(O[C@H]1[C@@H]([C@]2(C(C(OC(C)=O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2O)OC(/C=C/C4=CC=CC=C4)=O)=C)C)O)=O,"7,9-Deacetyltaxinine B"
87,CC(O[C@H]1C(O)[C@]2(C(C(OC(C)=O)C(C(C)(C)C1=C3C)CC3=O)C([C@H](CC2OC(C)=O)OC(/C=C/C4=CC=CC=C4)=O)=C)C)=O,9-Deacetyltaxinine B
88,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)OC(=O)C)C)OC(=O)C)O,10-Deacetyltaxinine B
89,CC1=C2[C@H]([C@@H]([C@@]3([C@H](C[C@@H](C(=C)[C@H]3[C@@H]([C@@H](C2(C)C)CC1=O)OC(=O)C)OC(=O)/C=C/C4=CC=CC=C4)OC(=O)C)C)OC(=O)C)OC(=O)C,Taxinine B
